season,episode_number,air_date,count
2,62,2015-01-08T00:00:00-08:00,0
2,63,2015-01-09T00:00:00-08:00,0
2,64,2015-01-12T00:00:00-08:00,2
2,65,2015-01-13T00:00:00-08:00,0
2,66,2015-01-14T00:00:00-08:00,1
2,67,2015-01-15T00:00:00-08:00,0
2,68,2015-01-16T00:00:00-08:00,0
2,69,2015-01-19T00:00:00-08:00,0
2,70,2015-01-20T00:00:00-08:00,0
2,71,2015-01-21T00:00:00-08:00,0
2,72,2015-01-22T00:00:00-08:00,0
2,73,2015-01-23T00:00:00-08:00,0
2,74,2015-02-01T00:00:00-08:00,0
2,75,2015-02-02T00:00:00-08:00,0
2,76,2015-02-03T00:00:00-08:00,0
2,77,2015-02-04T00:00:00-08:00,0
2,78,2015-02-05T00:00:00-08:00,0
2,79,2015-02-09T00:00:00-08:00,0
2,80,2015-02-10T00:00:00-08:00,0
2,81,2015-02-11T00:00:00-08:00,0
2,82,2015-02-12T00:00:00-08:00,0
2,83,2015-02-13T00:00:00-08:00,0
2,84,2015-02-16T00:00:00-08:00,0
2,85,2015-02-17T00:00:00-08:00,0
2,86,2015-02-18T00:00:00-08:00,0
2,87,2015-02-19T00:00:00-08:00,0
2,88,2015-02-20T00:00:00-08:00,0
2,89,2015-02-23T00:00:00-08:00,0
2,90,2015-02-24T00:00:00-08:00,0
2,91,2015-02-25T00:00:00-08:00,0
2,92,2015-02-26T00:00:00-08:00,0
2,93,2015-02-27T00:00:00-08:00,0
2,94,2015-03-02T00:00:00-08:00,0
2,95,2015-03-03T00:00:00-08:00,0
2,96,2015-03-04T00:00:00-08:00,0
2,97,2015-03-05T00:00:00-08:00,0
2,98,2015-03-16T00:00:00-07:00,0
2,99,2015-03-17T00:00:00-07:00,0
2,100,2015-03-18T00:00:00-07:00,0
2,101,2015-03-19T00:00:00-07:00,0
2,102,2015-03-20T00:00:00-07:00,0
2,103,2015-03-23T00:00:00-07:00,2
2,104,2015-03-24T00:00:00-07:00,4
2,105,2015-03-25T00:00:00-07:00,0
2,106,2015-03-26T00:00:00-07:00,1
2,107,2015-03-27T00:00:00-07:00,0
2,108,2015-03-30T00:00:00-07:00,0
2,109,2015-03-31T00:00:00-07:00,0
2,110,2015-04-01T00:00:00-07:00,0
2,111,2015-04-02T00:00:00-07:00,0
2,112,2015-04-03T00:00:00-07:00,0
2,113,2015-04-06T00:00:00-07:00,0
2,114,2015-04-07T00:00:00-07:00,0
2,115,2015-04-08T00:00:00-07:00,0
2,116,2015-04-09T00:00:00-07:00,0
2,117,2015-04-10T00:00:00-07:00,0
2,118,2015-04-20T00:00:00-07:00,0
2,119,2015-04-21T00:00:00-07:00,0
2,120,2015-04-22T00:00:00-07:00,0
2,121,2015-04-23T00:00:00-07:00,0
2,122,2015-04-24T00:00:00-07:00,0
2,123,2015-04-27T00:00:00-07:00,0
2,124,2015-04-28T00:00:00-07:00,0
2,125,2015-04-29T00:00:00-07:00,0
2,126,2015-04-30T00:00:00-07:00,0
2,127,2015-05-01T00:00:00-07:00,0
2,128,2015-05-04T00:00:00-07:00,0
2,129,2015-05-05T00:00:00-07:00,0
2,130,2015-05-06T00:00:00-07:00,0
2,131,2015-05-07T00:00:00-07:00,0
2,132,2015-05-01T00:00:00-07:00,0
2,133,2015-05-11T00:00:00-07:00,1
2,134,2015-05-12T00:00:00-07:00,0
2,135,2015-05-13T00:00:00-07:00,0
2,136,2015-05-14T00:00:00-07:00,0
2,137,2015-05-15T00:00:00-07:00,0
2,138,2015-05-18T00:00:00-07:00,0
2,139,2015-05-19T00:00:00-07:00,1
2,140,2015-05-20T00:00:00-07:00,0
2,141,2015-05-21T00:00:00-07:00,0
2,142,2015-05-22T00:00:00-07:00,1
2,143,2015-06-01T00:00:00-07:00,0
2,144,2015-06-02T00:00:00-07:00,7
2,145,2015-06-03T00:00:00-07:00,0
2,146,2015-06-04T00:00:00-07:00,0
2,147,2015-06-05T00:00:00-07:00,0
2,148,2015-06-08T00:00:00-07:00,0
2,149,2015-06-09T00:00:00-07:00,0
2,150,2015-06-10T00:00:00-07:00,0
2,151,2015-06-11T00:00:00-07:00,0
2,152,2015-06-12T00:00:00-07:00,0
2,153,2015-06-15T00:00:00-07:00,0
2,154,2015-06-16T00:00:00-07:00,6
2,155,2015-06-17T00:00:00-07:00,5
2,156,2015-06-18T00:00:00-07:00,3
2,157,2015-06-19T00:00:00-07:00,3
2,158,2015-06-22T23:10:00-07:00,3
2,159,2015-06-23T00:00:00-07:00,2
2,160,2015-06-24T00:00:00-07:00,3
2,161,2015-06-25T00:00:00-07:00,0
2,162,2015-07-13T00:00:00-07:00,1
2,163,2015-07-14T00:00:00-07:00,8
2,164,2015-07-15T00:00:00-07:00,5
2,165,2015-07-16T00:00:00-07:00,20
2,166,2015-07-17T00:00:00-07:00,13
2,167,2015-07-20T00:00:00-07:00,6
2,168,2015-07-21T00:00:00-07:00,4
2,169,2015-07-22T00:00:00-07:00,7
2,170,2015-07-23T00:00:00-07:00,7
2,171,2015-07-24T00:00:00-07:00,8
2,172,2015-07-27T00:00:00-07:00,5
2,173,2015-07-28T00:00:00-07:00,7
2,174,2015-07-29T00:00:00-07:00,6
2,175,2015-07-30T00:09:00-07:00,7
2,176,2015-07-31T00:00:00-07:00,3
2,177,2015-08-03T23:32:00-07:00,8
2,178,2015-08-04T00:00:00-07:00,4
2,179,2015-08-05T00:00:00-07:00,7
2,180,2015-08-06T00:00:00-07:00,0
2,181,2015-08-07T00:00:00-07:00,5
2,182,2015-08-10T00:00:00-07:00,11
2,183,2015-08-11T00:00:00-07:00,5
2,184,2015-08-12T00:00:00-07:00,7
2,185,2015-08-13T00:00:00-07:00,0
2,186,2015-08-14T00:00:00-07:00,9
2,187,2015-08-17T00:00:00-07:00,8
2,188,2015-08-18T00:00:00-07:00,8
2,189,2015-08-19T00:00:00-07:00,3
2,190,2015-08-20T00:00:00-07:00,15
2,191,2015-08-21T00:00:00-07:00,7
2,192,2015-08-31T00:00:00-07:00,8
2,193,2015-09-01T00:00:00-07:00,8
2,194,2015-09-02T00:00:00-07:00,6
