season,episode_number,air_date,url,name,description
2,4,09/05/14,http://www.imdb.com/title/tt3976114/,Claire Danes/Mo'ne Davis/Fences feat. Macklemore,Claire Danes (Homeland (2011)); Little League pitcher Mo'ne Davis. Also: Fences performs with Macklemore.
2,5,09/08/14,http://www.imdb.com/title/tt3976116/,Jason Segel/Steve Harvey/Alicia Keys,"Jason Segel (novel ""Nightmares!""); Steve Harvey (book ""Act Like a Success, Think Like a Success""). Also: Alicia Keys performs."
2,6,09/09/14,http://www.imdb.com/title/tt3976118/,Keith Richards/Debra Messing/The Replacements,"Keith Richards (book ""Gus and Me: The Story of My Granddad and My First Guitar""); Debra Messing (The Mysteries of Laura (2014)). Also: The Replacements perform."
2,7,09/10/14,http://www.imdb.com/title/tt4010288/,Hugh Jackman/Nick Offerman/Luke Bryan,"Hugh Jackman (Broadway play ""The River""); Nick Offerman (book ""Paddle Your Own Canoe""). Hugh and Jimmy play pool bowing, also: Luke Bryan performs."
2,8,09/11/14,http://www.imdb.com/title/tt4010290/,Jessica Chastain/Jeffrey Tambor/Chris Brown,Jessica Chastain (The Disappearance of Eleanor Rigby: Them (2014)); Jeffrey Tambor (Transparent (2014)). Also: Chris Brown performs.
2,9,09/12/14,http://www.imdb.com/title/tt4010292/,Glenn Close/Justin Long/Kurt Braunohler,"Glenn Close (Broadway play ""A Delicate Balance""); Justin Long (Tusk (2014)); Kurt Braunohler performs stand-up."
2,10,09/15/14,http://www.imdb.com/title/tt4031004/,Barbra Streisand,"Barbra Streisand (album ""Partners"") is interviewed and performs."
2,11,09/16/14,http://www.imdb.com/title/tt4031006/,Julianna Margulies/Jerry Lewis/Public Enemy,Julianna Margulies (The Good Wife (2009)); Jerry Lewis (The Nutty Professor (1963)). Also: Public Enemy performs.
2,12,09/17/14,http://www.imdb.com/title/tt4031008/,Liam Neeson/Terry Gilliam/Tim McGraw,Liam Neeson (A Walk Among the Tombstones (2014)); director Terry Gilliam (The Zero Theorem (2013)). Also: Tim McGraw performs.
2,13,09/18/14,http://www.imdb.com/title/tt4031010/,Billy Crystal/Rose Byrne/Chef Nobu Matsuhisa,"Billy Crystal (book ""Still Foolin' 'Em"") discusses his friendship with Robin Williams; Rose Byrne (This Is Where I Leave You (2014), Broadway play ""You Can't Take It with You""); chef Nobu Matsuhisa prepares sushi. Also: Lecrae sits in with The Roots."
