season,episode_number,rating,rating_count
8,124,7.0,8
9,124,8.1,10
2,125,7.4,8
3,125,6.3,7
4,125,7.3,6
6,125,N/A,N/A
8,125,7.7,11
9,125,8.1,7
2,126,7.4,8
3,126,N/A,N/A
4,126,N/A,N/A
6,126,N/A,N/A
8,126,7.4,9
9,126,8.0,7
2,127,7.3,9
3,127,6.4,7
4,127,N/A,N/A
8,127,7.6,8
10,127,7.1,10
2,128,6.9,11
3,128,7.0,11
4,128,6.8,6
6,128,N/A,N/A
8,128,7.9,9
9,128,8.0,7
10,128,7.9,8
2,129,9.0,38
3,129,6.7,7
4,129,N/A,N/A
6,129,N/A,N/A
8,129,7.3,9
9,129,7.6,9
2,130,7.1,9
3,130,6.4,7
4,130,N/A,N/A
6,130,N/A,N/A
8,130,7.8,11
9,130,7.7,7
2,131,7.1,9
3,131,7.4,7
4,131,N/A,N/A
8,131,7.8,9
9,131,8.0,7
10,131,8.4,7
2,132,8.4,17
3,132,6.5,8
4,132,6.8,6
5,132,N/A,N/A
6,132,N/A,N/A
8,132,7.8,10
2,133,7.4,8
3,133,7.2,8
4,133,6.6,5
6,133,N/A,N/A
8,133,8.2,5
9,133,8.0,9
10,133,7.6,11
2,134,7.4,8
3,134,6.7,7
4,134,5.4,9
5,134,7.2,8
6,134,7.2,5
9,134,8.1,7
2,135,7.2,8
3,135,6.7,7
4,135,6.8,5
6,135,N/A,N/A
8,135,8.1,8
9,135,9.1,36
10,135,7.2,10
2,136,6.7,12
3,136,6.7,7
4,136,6.6,5
6,136,6.8,5
8,136,7.4,8
9,136,7.7,7
2,137,8.2,9
3,137,7.0,7
4,137,N/A,N/A
5,137,N/A,N/A
6,137,7.4,5
8,137,7.2,9
9,137,7.6,7
2,138,7.2,8
3,138,6.6,5
4,138,N/A,N/A
6,138,N/A,N/A
8,138,7.3,9
9,138,8.0,7
10,138,8.0,10
2,139,7.2,8
4,139,6.8,5
6,139,8.0,9
8,139,7.3,10
9,139,8.3,7
2,140,7.5,8
4,140,6.6,5
5,140,N/A,N/A
6,140,N/A,N/A
8,140,7.2,9
9,140,8.3,10
10,140,7.9,8
2,141,7.3,10
4,141,N/A,N/A
5,141,N/A,N/A
6,141,7.6,5
8,141,7.3,10
