season,episode_number,rating,rating_count
19,24,7.9,19
20,24,7.3,19
1,25,N/A,N/A
2,25,N/A,N/A
3,25,N/A,N/A
4,25,N/A,N/A
5,25,7.0,8
6,25,N/A,N/A
7,25,N/A,N/A
8,25,N/A,N/A
9,25,6.6,8
10,25,6.2,8
11,25,6.8,9
12,25,6.5,11
13,25,7.7,9
14,25,7.7,14
15,25,6.1,22
16,25,7.8,8
17,25,7.5,13
18,25,7.9,19
19,25,7.7,23
20,25,8.0,19
1,26,N/A,N/A
2,26,N/A,N/A
3,26,N/A,N/A
4,26,N/A,N/A
5,26,N/A,N/A
6,26,N/A,N/A
7,26,N/A,N/A
8,26,N/A,N/A
9,26,6.9,10
10,26,6.7,7
11,26,4.0,28
12,26,6.1,11
13,26,6.1,11
14,26,7.4,16
15,26,6.6,16
16,26,7.7,9
17,26,7.3,15
18,26,7.4,17
19,26,7.0,23
20,26,7.4,24
1,27,N/A,N/A
2,27,7.0,5
3,27,N/A,N/A
4,27,N/A,N/A
5,27,N/A,N/A
6,27,N/A,N/A
7,27,N/A,N/A
8,27,N/A,N/A
9,27,6.8,10
10,27,6.6,7
11,27,4.4,30
12,27,8.1,13
13,27,5.8,12
14,27,7.3,15
15,27,7.2,19
16,27,7.1,8
17,27,7.5,15
18,27,7.4,17
19,27,7.9,18
20,27,7.2,20
1,28,N/A,N/A
2,28,N/A,N/A
3,28,N/A,N/A
4,28,N/A,N/A
5,28,N/A,N/A
6,28,6.3,6
7,28,N/A,N/A
8,28,5.2,8
9,28,7.1,9
10,28,6.7,7
11,28,8.4,10
12,28,6.6,9
13,28,5.8,12
14,28,7.5,13
15,28,6.9,16
16,28,7.5,12
17,28,7.3,13
18,28,7.4,17
19,28,8.1,25
20,28,7.8,20
1,29,N/A,N/A
2,29,N/A,N/A
3,29,N/A,N/A
4,29,N/A,N/A
5,29,N/A,N/A
6,29,N/A,N/A
7,29,N/A,N/A
8,29,N/A,N/A
9,29,6.1,11
10,29,6.9,7
11,29,7.3,9
12,29,6.2,10
13,29,7.5,10
14,29,7.1,13
15,29,6.5,20
16,29,7.7,14
17,29,7.5,17
18,29,7.3,15
19,29,7.6,17
20,29,7.6,17
1,30,N/A,N/A
2,30,N/A,N/A
3,30,N/A,N/A
4,30,N/A,N/A
5,30,N/A,N/A
6,30,9.3,19
7,30,N/A,N/A
8,30,N/A,N/A
9,30,6.3,11
10,30,6.9,7
11,30,7.4,8
12,30,6.5,10
13,30,6.2,12
14,30,7.1,10
15,30,7.7,18
16,30,8.0,6
17,30,6.3,18
18,30,6.9,15
19,30,8.0,21
20,30,7.9,19
1,31,N/A,N/A
2,31,N/A,N/A
3,31,N/A,N/A
4,31,N/A,N/A
5,31,N/A,N/A
6,31,8.8,5
7,31,N/A,N/A
8,31,N/A,N/A
9,31,6.9,7
10,31,7.1,7
11,31,7.2,8
12,31,6.3,10
13,31,6.6,10
14,31,7.1,11
15,31,7.2,16
16,31,7.8,6
17,31,7.0,14
18,31,7.3,21
19,31,8.2,17
20,31,7.5,20
1,32,N/A,N/A
2,32,N/A,N/A
3,32,N/A,N/A
4,32,N/A,N/A
